Frame,Unix Time,Name,Age (Confidence),Gender (Confidence),Emotion (Confidence),Race Percentages,Bounding Box
1,1737795918,Unknown,35,"{'Woman': 29.79200780391693, 'Man': 70.20798921585083}",neutral (38.15),"{'asian': 17.372815310955048, 'indian': 14.367353916168213, 'black': 7.637401670217514, 'white': 18.303917348384857, 'middle eastern': 21.09031081199646, 'latino hispanic': 21.228203177452087}","(95, 23, 1752, 1064)"
2,1737795920,Unknown,29,"{'Woman': 0.1789414556697011, 'Man': 99.82105493545532}",fear (41.62),"{'asian': 9.734440924591908, 'indian': 9.946563399247719, 'black': 3.4272510198055484, 'white': 27.196615672514955, 'middle eastern': 17.91435713596855, 'latino hispanic': 31.780766632465525}","(0, 10, 1735, 1071)"
3,1737795921,Unknown,32,"{'Woman': 0.29686889611184597, 'Man': 99.70313310623169}",fear (62.31),"{'asian': 11.069340258836746, 'indian': 10.64944714307785, 'black': 3.9298616349697113, 'white': 26.25654935836792, 'middle eastern': 17.76057332754135, 'latino hispanic': 30.33422827720642}","(0, 10, 1732, 1071)"
4,1737795922,Unknown,29,"{'Woman': 0.30754401814192533, 'Man': 99.69245791435242}",neutral (53.94),"{'asian': 2.4806709960103035, 'indian': 2.6803934946656227, 'black': 0.47347890213131905, 'white': 54.359614849090576, 'middle eastern': 14.923959970474243, 'latino hispanic': 25.081875920295715}","(1, 13, 1881, 1070)"
5,1737795924,Unknown,27,"{'Woman': 0.21374677307903767, 'Man': 99.78625178337097}",neutral (49.76),"{'asian': 8.484528213739395, 'indian': 10.79365387558937, 'black': 3.9530817419290543, 'white': 24.61639791727066, 'middle eastern': 15.308219194412231, 'latino hispanic': 36.84411942958832}","(17, 11, 1917, 1067)"
6,1737795925,Unknown,31,"{'Woman': 0.1365843927487731, 'Man': 99.86341595649719}",neutral (35.03),"{'asian': 6.328416615724564, 'indian': 9.947127848863602, 'black': 2.3571135476231575, 'white': 28.42845618724823, 'middle eastern': 17.38690286874771, 'latino hispanic': 35.55198609828949}","(157, 106, 1918, 1068)"
7,1737795926,Unknown,28,"{'Woman': 0.37456643767654896, 'Man': 99.62543249130249}",fear (33.36),"{'asian': 6.91709890961647, 'indian': 4.949970170855522, 'black': 1.6319813206791878, 'white': 39.506760239601135, 'middle eastern': 17.641115188598633, 'latino hispanic': 29.353076219558716}","(227, 129, 1806, 1071)"
8,1737795927,Unknown,28,"{'Woman': 0.21627459209412336, 'Man': 99.7837245464325}",neutral (80.04),"{'asian': 5.0361402332782745, 'indian': 3.1553592532873154, 'black': 0.8407698944211006, 'white': 47.91334867477417, 'middle eastern': 14.479410648345947, 'latino hispanic': 28.574976325035095}","(321, 136, 1638, 1070)"
9,1737795928,Unknown,27,"{'Woman': 0.15989914536476135, 'Man': 99.84009861946106}",neutral (79.61),"{'asian': 6.602492183446884, 'indian': 4.110284894704819, 'black': 1.2096301652491093, 'white': 40.47490954399109, 'middle eastern': 15.481838583946228, 'latino hispanic': 32.12084472179413}","(285, 144, 1657, 1070)"
10,1737795929,Unknown,29,"{'Woman': 0.18771367613226175, 'Man': 99.81228709220886}",neutral (97.81),"{'asian': 6.485100118529811, 'indian': 3.8861998332977095, 'black': 1.1981376012429716, 'white': 42.511569560953326, 'middle eastern': 15.267910393227385, 'latino hispanic': 30.651087242494494}","(315, 146, 1658, 1070)"
